epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,164.873,1.26821,2.81026,2.66859,1.66919,0,0.57595,0.60599,0.59549,0.44722,0.56819,0.60208,0.57657,0.42829,1.31404,2.47791,1.82291,1.72752,0,0.00997159,0.00332386,0.00997159,0.00332386,0.00997159,0.00332386,0.00997159,0.00332386
2,302.811,1.18268,2.32219,1.76877,1.55115,0,0.51028,0.54607,0.55632,0.40348,0.5035,0.54609,0.54874,0.39466,1.47844,2.81253,2.01874,1.89697,0,0.0199715,0.00665718,0.0199715,0.00665718,0.0199715,0.00665718,0.0199715,0.00665718
3,432.769,1.30539,2.50109,1.85658,1.66009,0,0.58314,0.48827,0.49394,0.34218,0.58454,0.48556,0.48588,0.34241,1.63008,3.1247,2.22646,2.0985,0,0.0299713,0.00999043,0.0299713,0.00999043,0.0299713,0.00999043,0.0299713,0.00999043
4,560.825,1.40141,2.69573,1.98795,1.75443,0,0.51083,0.51817,0.49818,0.3474,0.49338,0.51307,0.48626,0.33635,1.63138,3.10181,2.27482,2.11209,0,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978
5,689.027,1.38164,2.6751,1.9602,1.74383,0,0.45827,0.50086,0.46497,0.32896,0.47761,0.47257,0.45244,0.3235,1.64388,3.21402,2.42381,2.08906,0,0.0299988,0.00999961,0.0299988,0.00999961,0.0299988,0.00999961,0.0299988,0.00999961
6,817.196,1.33843,2.59154,1.8684,1.69358,0,0.55942,0.5181,0.53602,0.3863,0.558,0.51483,0.52365,0.37511,1.52524,2.87778,2.02282,1.96038,0,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
7,945.359,1.29699,2.51185,1.79926,1.67626,0,0.60226,0.54589,0.5695,0.39217,0.60111,0.53397,0.55514,0.37993,1.50215,2.7509,1.92091,1.94263,0,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
8,1073.47,1.2798,2.47725,1.74693,1.64978,0,0.59125,0.59308,0.59555,0.43966,0.58817,0.58732,0.5848,0.41777,1.39283,2.73261,1.83612,1.81589,0,0.0299964,0.0099988,0.0299964,0.0099988,0.0299964,0.0099988,0.0299964,0.0099988
9,1201.41,1.23157,2.39831,1.65139,1.6076,0,0.61228,0.57237,0.57936,0.42924,0.60979,0.56975,0.57041,0.41921,1.40478,2.68537,1.86342,1.81068,0,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
10,1329.5,1.20503,2.34837,1.60734,1.57809,0,0.60334,0.61705,0.62491,0.47256,0.61126,0.61536,0.61781,0.45882,1.34156,2.55879,1.71178,1.78377,0,0.0299941,0.00999802,0.0299941,0.00999802,0.0299941,0.00999802,0.0299941,0.00999802
11,1458.05,1.16474,2.25842,1.52665,1.55541,0,0.62469,0.63488,0.64475,0.47897,0.63028,0.62427,0.6298,0.46364,1.38256,2.57112,1.66005,1.81738,0,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
12,1586.72,1.16702,2.24319,1.49389,1.55052,0,0.64291,0.60412,0.63043,0.47522,0.63048,0.60996,0.62258,0.46692,1.37707,2.5516,1.70216,1.8195,0,0.0299911,0.00999704,0.0299911,0.00999704,0.0299911,0.00999704,0.0299911,0.00999704
13,1714.76,1.14146,2.17725,1.44561,1.52152,0,0.61632,0.6223,0.62631,0.47259,0.61559,0.61654,0.61764,0.45445,1.33142,2.48115,1.70318,1.74726,0,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
14,1842.86,1.11744,2.14256,1.40689,1.49906,0,0.65222,0.65804,0.67027,0.51615,0.63542,0.65336,0.65551,0.49563,1.28511,2.37685,1.59098,1.71149,0,0.0299876,0.00999587,0.0299876,0.00999587,0.0299876,0.00999587,0.0299876,0.00999587
15,1971.59,1.09556,2.0933,1.35364,1.47731,0,0.69697,0.63424,0.67204,0.50937,0.66303,0.63176,0.65445,0.48709,1.26149,2.38004,1.56746,1.68285,0,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
16,2099.75,1.07616,2.08603,1.3226,1.4638,0,0.66516,0.65265,0.67304,0.51391,0.66783,0.64303,0.66529,0.49778,1.27716,2.39211,1.50235,1.68573,0,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
17,2227.66,1.06844,2.04731,1.30514,1.45803,0,0.65661,0.6244,0.66255,0.50846,0.66111,0.62607,0.65497,0.49228,1.2753,2.38788,1.53598,1.69721,0,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375
18,2355.26,1.03538,1.99856,1.25758,1.43308,0,0.67857,0.65442,0.66624,0.51575,0.66748,0.65601,0.64961,0.48867,1.25675,2.35848,1.51031,1.68043,0,0.0299788,0.00999294,0.0299788,0.00999294,0.0299788,0.00999294,0.0299788,0.00999294
19,2482.88,1.0291,1.98964,1.22825,1.42551,0,0.68258,0.66309,0.68324,0.52857,0.74717,0.63011,0.67564,0.5076,1.241,2.36551,1.46762,1.67083,0,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209
20,2612.61,1.0328,1.96159,1.21104,1.42523,0,0.7182,0.67949,0.70678,0.54525,0.71507,0.67899,0.69864,0.52025,1.23432,2.31913,1.4039,1.65116,0,0.0299736,0.00999118,0.0299736,0.00999118,0.0299736,0.00999118,0.0299736,0.00999118
21,2741.43,1.00572,1.92216,1.17219,1.40182,0,0.63802,0.68113,0.68452,0.53495,0.6506,0.6717,0.67834,0.51134,1.24091,2.32274,1.51601,1.66718,0,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
22,2869,0.98001,1.86983,1.12639,1.38737,0,0.69292,0.68829,0.69613,0.54335,0.69488,0.68705,0.69384,0.52522,1.23931,2.30576,1.41705,1.66389,0,0.0299677,0.00998923,0.0299677,0.00998923,0.0299677,0.00998923,0.0299677,0.00998923
23,2997.6,0.98429,1.87939,1.14371,1.38765,0,0.65651,0.69741,0.70419,0.54413,0.66242,0.68773,0.69482,0.52095,1.25328,2.34196,1.43372,1.67139,0,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818
24,3125.3,0.9609,1.82397,1.07574,1.35815,0,0.71181,0.67596,0.72066,0.55718,0.7109,0.67865,0.71509,0.53398,1.22979,2.26515,1.3688,1.65076,0,0.0299613,0.00998708,0.0299613,0.00998708,0.0299613,0.00998708,0.0299613,0.00998708
25,3254,0.959,1.81343,1.07647,1.36621,0,0.72078,0.67769,0.70619,0.55989,0.73018,0.68533,0.70194,0.5321,1.19706,2.29245,1.40412,1.63466,0,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594
26,3382.79,0.93762,1.79373,1.03667,1.34306,0,0.7126,0.6923,0.71017,0.55484,0.71421,0.69149,0.70987,0.53219,1.2324,2.28147,1.36791,1.65886,0,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
27,3510.91,0.92439,1.7658,1.01671,1.32579,0,0.75012,0.69177,0.71446,0.54981,0.75069,0.68676,0.70367,0.52989,1.24493,2.3192,1.40349,1.67404,0,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835
28,3638.78,0.92825,1.73678,0.9855,1.32912,0,0.74115,0.68493,0.71921,0.56053,0.74623,0.68707,0.71944,0.54204,1.20342,2.28257,1.34584,1.65074,0,0.0299466,0.0099822,0.0299466,0.0099822,0.0299466,0.0099822,0.0299466,0.0099822
29,3767.45,0.91281,1.74227,0.97788,1.31553,0,0.68818,0.70621,0.71514,0.56167,0.6845,0.70959,0.71053,0.53811,1.21336,2.28332,1.34337,1.63595,0,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086
30,3895.62,0.90361,1.73213,0.95626,1.30412,0,0.74798,0.67693,0.72007,0.56253,0.74262,0.67582,0.71068,0.53482,1.2349,2.27757,1.34897,1.66222,0,0.0299384,0.00997947,0.0299384,0.00997947,0.0299384,0.00997947,0.0299384,0.00997947
31,4023.59,0.89063,1.68731,0.93625,1.3001,0,0.77244,0.67219,0.72253,0.56387,0.76527,0.67824,0.71831,0.54263,1.24438,2.28978,1.35891,1.66295,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
32,4152.74,0.88778,1.68757,0.92905,1.29493,0,0.73503,0.69621,0.72966,0.56399,0.7965,0.6598,0.71801,0.54539,1.23644,2.26226,1.31384,1.66505,0,0.0299296,0.00997654,0.0299296,0.00997654,0.0299296,0.00997654,0.0299296,0.00997654
33,4281.56,0.87775,1.65807,0.90702,1.28695,0,0.77123,0.68899,0.72844,0.57081,0.80177,0.66664,0.72661,0.54586,1.23629,2.24142,1.3163,1.6783,0,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501
34,4410.33,0.86355,1.62629,0.88282,1.27559,0,0.72086,0.69161,0.71307,0.55875,0.72399,0.69466,0.70919,0.53733,1.25573,2.34732,1.34315,1.69134,0,0.0299203,0.00997342,0.0299203,0.00997342,0.0299203,0.00997342,0.0299203,0.00997342
35,4538.59,0.84939,1.60681,0.85186,1.26808,0,0.77241,0.67157,0.7262,0.57244,0.77462,0.67408,0.72999,0.54918,1.24008,2.33059,1.30949,1.67181,0,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179
36,4667.42,0.84225,1.5989,0.8334,1.25114,0,0.73293,0.69626,0.73273,0.56605,0.7471,0.69534,0.73034,0.54075,1.24034,2.32241,1.33908,1.69023,0,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
37,4795.45,0.85241,1.60405,0.84042,1.26246,0,0.73997,0.69049,0.71914,0.55856,0.75277,0.69749,0.72202,0.54224,1.24437,2.29192,1.32699,1.69124,0,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838
38,4923.1,0.82576,1.58653,0.82149,1.24405,0,0.7318,0.71306,0.73358,0.56971,0.75122,0.69296,0.7271,0.54824,1.2322,2.29049,1.30065,1.66815,0,0.0298998,0.0099666,0.0298998,0.0099666,0.0298998,0.0099666,0.0298998,0.0099666
39,5050.92,0.83182,1.56707,0.82001,1.24,0,0.74792,0.68418,0.71521,0.55724,0.75079,0.68718,0.71054,0.53682,1.25464,2.33602,1.39627,1.6824,0,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477
40,5178.86,0.8231,1.55875,0.79759,1.23686,0,0.76284,0.70951,0.72788,0.57397,0.75889,0.70669,0.72234,0.55041,1.20349,2.30253,1.29971,1.65285,0,0.0298887,0.00996289,0.0298887,0.00996289,0.0298887,0.00996289,0.0298887,0.00996289
41,5307.84,0.81572,1.52305,0.77898,1.23354,0,0.76353,0.71501,0.74178,0.58051,0.78182,0.69394,0.72876,0.55649,1.22697,2.35139,1.30282,1.66547,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
42,5436.61,0.8042,1.5204,0.76475,1.23046,0,0.76864,0.70572,0.73709,0.55738,0.77312,0.70056,0.73453,0.54177,1.26777,2.36045,1.3455,1.72914,0,0.029877,0.00995899,0.029877,0.00995899,0.029877,0.00995899,0.029877,0.00995899
43,5564.36,0.81256,1.51192,0.76973,1.23128,0,0.78246,0.68395,0.73186,0.57369,0.78858,0.69162,0.73592,0.55084,1.22607,2.24293,1.2862,1.67117,0,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697
44,5691.85,0.79358,1.50177,0.75635,1.20519,0,0.77224,0.70419,0.74661,0.58295,0.77435,0.71222,0.7468,0.55563,1.21181,2.29209,1.26315,1.67061,0,0.0298647,0.0099549,0.0298647,0.0099549,0.0298647,0.0099549,0.0298647,0.0099549
45,5820.63,0.77651,1.46066,0.71631,1.19933,0,0.77798,0.70752,0.73531,0.5694,0.77767,0.70788,0.72777,0.54344,1.24181,2.34965,1.31691,1.69094,0,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278
46,5948.71,0.77126,1.45124,0.72146,1.19373,0,0.78273,0.696,0.74086,0.57726,0.79353,0.68747,0.73299,0.55357,1.23788,2.33359,1.28864,1.7195,0,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
47,6076.49,0.77423,1.45235,0.72895,1.21031,0,0.77658,0.70276,0.74421,0.58108,0.77892,0.70596,0.7418,0.55568,1.26881,2.37575,1.297,1.73652,0,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484
